ID,Relative to plume,Original circles,Soil Pb (mg/kg),Soil Pb error (mg/kg),Latitude,Longitude,Type
L-02,inside,yes,9007,70,48.85376,2.34634,crack
ND-48,inside,no,4141,33,48.85362,2.34684,tree
L-03,inside,yes,3279,28,48.85362,2.34524,crack
ND-49,inside,no,2346,21,48.85380,2.34730,tree
O-37,outside,yes,1432,15,48.84672,2.34260,crack
I-59,outside,yes,1259,15,48.85635,2.34967,tree
O-49,inside,yes,1215,14,48.85692,2.33816,garden
I-47,inside,yes,1170,13,48.85349,2.34407,tree
I-01,outside,yes,881,10,48.85595,2.35062,tree
M-45,inside,no,776,9,48.85284,2.34082,garden
I-51,inside,yes,663,9,48.85484,2.34553,tree
I-17,outside,yes,653,9,48.85161,2.35559,crack
L-04,inside,yes,645,8,48.85480,2.34420,crack
M-46,inside,no,601,8,48.85373,2.33815,tree
OO-46,inside,no,595,8,48.85398,2.32422,crack
ND-49M,inside,no,579,8,48.85436,2.34500,tree
ND-49D,inside,no,573,8,48.85510,2.34200,crack
O-09,outside,yes,545,8,48.85751,2.36085,crack
ND-48C,inside,no,534,8,48.85718,2.33426,garden
ND-49F,inside,no,483,7,48.85805,2.33531,tree
L-01,inside,yes,470,7,48.85364,2.34736,tree
ND-48B,inside,no,447,7,48.85716,2.33419,garden
I-37,outside,yes,437,6,48.84956,2.34699,tree
ND-50E,inside,no,426,7,48.85462,2.34382,park
ND-46,inside,no,411,7,48.85310,2.34707,tree
O-39,outside,yes,357,6,48.84727,2.34020,park
ND-49C,inside,no,346,6,48.85470,2.34250,tree
O-15,outside,yes,333,6,48.85221,2.36275,crack
ND-49B,inside,no,331,6,48.85403,2.34593,tree
I-49,inside,yes,283,5,48.85410,2.34549,tree
ND-51,outside,no,224,5,48.85416,2.34762,tree
O-27,outside,yes,220,5,48.84376,2.35516,park
ND-45,inside,no,218,5,48.85291,2.34734,tree
ND-46B,inside,no,216,5,48.85328,2.34326,tree
I-31,outside,yes,206,4,48.84863,2.35000,garden
O-41,outside,yes,203,5,48.84888,2.33916,park
ND-49H,inside,no,192,4,48.85760,2.33692,crack
ND-50D,inside,no,191,4,48.85506,2.34319,park
ND-59,outside,no,191,4,48.85378,2.34928,tree
ND-50A,inside,no,186,4,48.85654,2.34146,park
O-07,outside,yes,185,4,48.85868,2.35803,park
I-29,outside,yes,180,4,48.84893,2.35162,garden
I-03,outside,yes,179,4,48.85553,2.35190,tree
O-21,outside,yes,175,4,48.84707,2.36088,tree
OO-45,inside,no,169,4,48.85252,2.32369,park
O-19,outside,yes,164,4,48.84894,2.36261,tree
I-53,outside,yes,160,4,48.85520,2.34709,tree
I-19,outside,yes,158,4,48.85098,2.35654,tree
I-57,outside,yes,156,4,48.85589,2.34862,crack
I-15,outside,yes,145,4,48.85310,2.35583,tree
I-39,outside,yes,144,4,48.85056,2.34638,tree
ND-49G,inside,no,139,4,48.85711,2.33689,tree
ND-49L,inside,no,139,4,48.85535,2.34166,tree
ND-47,inside,no,126,4,48.85581,2.33429,tree
ND-16,outside,no,114,4,48.85234,2.35223,park
I-11,outside,yes,113,3,48.85440,2.35587,park
I-07,outside,yes,107,3,48.85597,2.35388,tree
I-09,outside,yes,107,3,48.85460,2.35500,tree
I-05,outside,yes,106,3,48.85519,2.35266,tree
I-33,outside,yes,106,3,48.84971,2.34951,tree
O-53,outside,yes,105,3,48.85876,2.34154,tree
O-23,outside,yes,104,3,48.84597,2.35917,crack
O-45,inside,yes,97,3,48.85275,2.33746,tree
I-35,outside,yes,95,3,48.84988,2.34778,garden
O-51,inside,yes,95,3,48.85760,2.34000,park
O-01,outside,yes,94,3,48.86155,2.35216,tree
ND-50C,inside,no,90,3,48.85584,2.34227,park
O-13,outside,yes,90,4,48.85493,2.36418,park
I-25,outside,yes,87,3,48.84950,2.35313,tree
O-03,outside,yes,87,3,48.86092,2.35456,tree
O-47,inside,yes,86,3,48.85469,2.33679,park
O-55,outside,yes,85,3,48.86008,2.34411,tree
O-35,outside,yes,82,3,48.84522,2.34462,tree
I-21,outside,yes,79,3,48.85033,2.35450,tree
I-43,outside,yes,79,3,48.85222,2.34427,tree
OO-47,inside,no,69,3,48.85542,2.32502,plant pot
I-27,outside,yes,68,3,48.84953,2.35224,tree
I-55,outside,yes,67,3,48.85564,2.34788,tree
O-57,outside,yes,67,3,48.86076,2.34597,tree
O-33,outside,yes,64,3,48.84402,2.34654,park
ND-44,outside,no,62,3,48.85238,2.34737,park
O-17,outside,yes,62,3,48.85121,2.36208,park
ND-49K,inside,no,61,3,48.85605,2.34071,tree
M-48,inside,no,60,3,48.85538,2.33732,tree
O-29,outside,yes,58,3,48.84296,2.35225,tree
O-43,outside,yes,58,3,48.85036,2.33817,tree
ND-50B,inside,no,56,3,48.85621,2.34200,park
I-41,outside,yes,51,3,48.85159,2.34574,park
ND-49J,inside,no,50,3,48.85643,2.34024,tree
ND-49E,inside,no,48,3,48.85566,2.34107,crack
O-25,outside,yes,48,3,48.84472,2.35808,park
O-05,outside,yes,45,2,48.86035,2.35769,park
OO-50,inside,no,42,3,48.86140,2.32816,tree
I-23,outside,yes,41,3,48.85018,2.35457,tree
O-59,outside,yes,41,3,48.86138,2.34916,tree
ND-49I,inside,no,39,3,48.85707,2.33844,tree
OO-48,inside,no,39,2,48.85815,2.32688,plant pot
O-11,outside,yes,38,3,48.85688,2.36205,park
O-31,outside,yes,38,2,48.84455,2.34941,tree
OO-49,inside,no,34,2,48.86042,2.32714,park
,,,,,,,